<eResourceEntry  timestamp='1389564313269' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1389564457910' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testRectangle'/>
<eObjectEntry  timestamp='1389564459732' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389564463255' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testAddXYToEmpty'/>
<eObjectEntry  timestamp='1389564464927' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389564927850' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testAddXYToEmpty'/>
<eObjectEntry  timestamp='1389564929551' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389605508034' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testAddXY'/>
<eObjectEntry  timestamp='1389605509832' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389605519683' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testAddSameXY'/>
<eObjectEntry  timestamp='1389605521303' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389605528736' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='junit test launch' value='testAddRectangleToEmpty'/>
<eObjectEntry  timestamp='1389605530412' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.4' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389607170874' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testAddXYToEmpty'/>
<eObjectEntry  timestamp='1389607172457' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389607176912' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testAddXY'/>
<eObjectEntry  timestamp='1389607178549' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389607183154' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testAddSameXY'/>
<eObjectEntry  timestamp='1389607184714' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389607188390' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testAddXYToEmpty'/>
<eObjectEntry  timestamp='1389607189980' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389607312312' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testRectangle'/>
<eObjectEntry  timestamp='1389607313913' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389608844458' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testRectangle'/>
<eObjectEntry  timestamp='1389608846044' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389609361194' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testRectangle'/>
<eObjectEntry  timestamp='1389609362788' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389609365116' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testAddXYToEmpty'/>
<eObjectEntry  timestamp='1389609366787' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1389609368850' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testAddXY'/>
<eObjectEntry  timestamp='1389609370797' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1389609437140' resUri='platform:/resource/TDT4100/src/stateandbehavior/RectangleTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testAddXY'/>
