<eResourceEntry  timestamp='1390272486602' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1390272489348' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPushPopPeek'/>
<eObjectEntry  timestamp='1390272490966' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390272724924' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPushPopPeek'/>
<eObjectEntry  timestamp='1390272726508' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390272840513' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPushPopPeek'/>
<eObjectEntry  timestamp='1390272843976' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390272942605' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPushPopPeek'/>
<eObjectEntry  timestamp='1390272944149' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390273358369' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPushPopPeek'/>
<eObjectEntry  timestamp='1390273359931' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390273363226' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testGetSize'/>
<eObjectEntry  timestamp='1390273364839' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390273367710' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testPerformOperationAddition'/>
<eObjectEntry  timestamp='1390273369303' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1390273423908' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testPerformOperationAddition'/>
<eObjectEntry  timestamp='1390273425455' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
<eObjectEntry  timestamp='1390273427722' resUri='platform:/resource/TDT4100/src/oving2/RPNCalcTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testPerformOperationSubtraction'/>
