<eResourceEntry  timestamp='1391002056538' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1391002058375' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testSetName'/>
<eObjectEntry  timestamp='1391002060684' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391002152050' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testSetName'/>
<eObjectEntry  timestamp='1391002154358' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1391002157158' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testSetBirthday'/>
<eObjectEntry  timestamp='1391002158841' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1391002160811' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391002162798' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391002272038' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='junit test launch' value='testSetGender'/>
<eObjectEntry  timestamp='1391002273876' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1391002288413' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391002289984' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391002341259' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391002343428' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391002460078' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391002463971' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391002483022' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391002485785' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391002552614' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391002554213' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391002587370' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391002594051' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391002865847' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391002867421' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391002890004' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391002892671' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391003316837' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391003319724' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391004022146' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391004023695' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391004155727' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
<eObjectEntry  timestamp='1391004158327' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1391004303375' resUri='platform:/resource/TDT4100/src/oving3/PersonTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testSetEmail'/>
