<eResourceEntry  timestamp='1393556648549' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1393556649508' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPerson1'/>
<eObjectEntry  timestamp='1393556651112' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393556678541' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testPerson1'/>
<eObjectEntry  timestamp='1393556680158' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1393556704206' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393556705878' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393556826177' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393556827827' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393556914560' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393556916158' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393557014996' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393557016618' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393557060789' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393557062416' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393557297529' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393557299285' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393557390667' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393557392462' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393557402935' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393557404597' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393557441516' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393557443138' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393557488778' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393557490404' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1393557545560' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='junit test launch' value='testPerson2'/>
<eObjectEntry  timestamp='1393557547211' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1393558795641' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='junit test launch' value='testNamedComparator'/>
<eObjectEntry  timestamp='1393558797269' resUri='platform:/resource/TDT4100/src/oving6/NamedTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
