<eResourceEntry  timestamp='1394931614436' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1394931618369' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394931618374' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394931618378' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394931655341' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394931655354' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394931655358' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394931718510' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testDeposit'/>
<eObjectEntry  timestamp='1394931720205' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932007928' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932007940' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932007945' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932035983' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932035998' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932036003' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932210718' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932210733' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932210738' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932236575' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932236589' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932236593' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932256406' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932256420' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932256423' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932355317' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1394932355330' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1394932355335' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394932391202' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1394932391216' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1394932391220' resUri='platform:/resource/TDT4100/src/oving8/BSUTest.java.jex' fragmentId='//@requirements.0/@requirements.2' key='test run status' value='true'/>
