<eResourceEntry  timestamp='1394934325979' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1394934345527' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='junit test launch' value='testWithdraw'/>
<eObjectEntry  timestamp='1394934347182' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394934538597' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394934538609' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394934552909' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1394934552922' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394934686121' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1394934686134' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394934798952' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1394934798965' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394935067655' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1394935067666' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1394935145669' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.0' key='test run status' value='true'/>
<eObjectEntry  timestamp='1394935145682' resUri='platform:/resource/TDT4100/src/oving8/ForeldreSparTest.java.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
